,entity,code,year,human_food,animal_feed,processed
170,Americas,,1972,55000.0,247000.0,22957000.0
171,Americas,,1973,69000.0,299000.0,23900000.0
172,Americas,,1974,110000.0,256000.0,28282000.0
173,Americas,,1975,132000.0,249000.0,27175000.0
174,Americas,,1976,166000.0,304000.0,33340000.0
175,Americas,,1977,177000.0,415000.0,31959000.0
176,Americas,,1978,195000.0,430000.0,36839000.0
177,Americas,,1979,194000.0,436000.0,39799000.0
178,Americas,,1980,266000.0,461000.0,45904000.0
179,Americas,,1981,304000.0,466000.0,45477000.0
180,Americas,,1982,276000.0,446000.0,45575000.0
181,Americas,,1983,289000.0,548000.0,48198000.0
182,Americas,,1984,267000.0,771000.0,45739000.0
183,Americas,,1985,302000.0,678000.0,48885000.0
184,Americas,,1986,281000.0,841000.0,48721000.0
185,Americas,,1987,319000.0,954000.0,54552000.0
186,Americas,,1988,312000.0,1086000.0,54940000.0
187,Americas,,1989,351000.0,1352000.0,53705000.0
188,Americas,,1990,343000.0,1462000.0,56759000.0
189,Americas,,1991,297000.0,1402000.0,57109000.0
190,Americas,,1992,335000.0,1603000.0,62253000.0
191,Americas,,1993,367000.0,1656000.0,64334000.0
192,Americas,,1994,415000.0,1303000.0,67550000.0
193,Americas,,1995,466000.0,1291000.0,73346000.0
194,Americas,,1996,507000.0,1535000.0,73688000.0
195,Americas,,1997,486000.0,1843000.0,74210000.0
196,Americas,,1998,527000.0,1941000.0,86307000.0
197,Americas,,1999,516000.0,1983000.0,88298000.0
198,Americas,,2000,565000.0,2039000.0,88744000.0
199,Americas,,2001,597000.0,1780000.0,93909000.0
200,Americas,,2002,672000.0,1786000.0,97893000.0
201,Americas,,2003,685000.0,2498000.0,101406000.0
202,Americas,,2004,676000.0,4614000.0,106557000.0
203,Americas,,2005,716000.0,4268000.0,113083000.0
204,Americas,,2006,716000.0,4383000.0,117356000.0
205,Americas,,2007,763000.0,3068000.0,124096000.0
206,Americas,,2008,843000.0,4546000.0,115905000.0
207,Americas,,2009,805000.0,4305000.0,113574000.0
208,Americas,,2010,907000.0,4537000.0,124664000.0
209,Americas,,2011,949000.0,4862000.0,128559000.0
210,Americas,,2012,947000.0,4089000.0,122812000.0
211,Americas,,2013,970000.0,5599000.0,127032000.0
212,Angola,AGO,1961,0.0,,
213,Angola,AGO,1962,0.0,,
214,Angola,AGO,1963,0.0,,
215,Angola,AGO,1964,0.0,,
216,Angola,AGO,1965,0.0,,
217,Angola,AGO,1966,0.0,,
218,Angola,AGO,1967,0.0,,
219,Angola,AGO,1968,0.0,,
220,Angola,AGO,1969,0.0,,
221,Angola,AGO,1970,0.0,,
222,Angola,AGO,1971,0.0,,
223,Angola,AGO,1972,0.0,,
224,Angola,AGO,1973,0.0,,
225,Angola,AGO,1974,0.0,,
226,Angola,AGO,1975,0.0,,
227,Angola,AGO,1976,0.0,,
228,Angola,AGO,1977,0.0,,
229,Angola,AGO,1978,0.0,,
230,Angola,AGO,1979,0.0,,
231,Angola,AGO,1980,0.0,,
232,Angola,AGO,1981,0.0,,
233,Angola,AGO,1982,0.0,,
234,Angola,AGO,1983,0.0,,
235,Angola,AGO,1984,0.0,,
236,Angola,AGO,1985,0.0,,
237,Angola,AGO,1986,0.0,,
238,Angola,AGO,1987,0.0,,
239,Angola,AGO,1988,0.0,,
240,Angola,AGO,1989,0.0,,
241,Angola,AGO,1990,17000.0,,
242,Angola,AGO,1991,1000.0,,
243,Angola,AGO,1992,7000.0,,
244,Angola,AGO,1993,0.0,,
245,Angola,AGO,1994,0.0,,
246,Angola,AGO,1995,0.0,,
247,Angola,AGO,1996,0.0,,
248,Angola,AGO,1997,0.0,,
249,Angola,AGO,1998,0.0,,
250,Angola,AGO,1999,0.0,,
251,Angola,AGO,2000,1000.0,,
252,Angola,AGO,2001,1000.0,,
253,Angola,AGO,2002,1000.0,,
254,Angola,AGO,2003,2000.0,,
255,Angola,AGO,2004,2000.0,,
256,Angola,AGO,2005,2000.0,,
257,Angola,AGO,2006,6000.0,,
258,Angola,AGO,2007,9000.0,,
259,Angola,AGO,2008,15000.0,,
260,Angola,AGO,2009,6000.0,,
261,Angola,AGO,2010,6000.0,,
262,Angola,AGO,2011,8000.0,,
263,Angola,AGO,2012,6000.0,,
264,Angola,AGO,2013,11000.0,,
265,Antigua and Barbuda,ATG,1961,0.0,,
266,Antigua and Barbuda,ATG,1962,0.0,,
267,Antigua and Barbuda,ATG,1963,0.0,,
268,Antigua and Barbuda,ATG,1964,0.0,,
269,Antigua and Barbuda,ATG,1965,0.0,,
270,Antigua and Barbuda,ATG,1966,0.0,,
271,Antigua and Barbuda,ATG,1967,0.0,,
272,Antigua and Barbuda,ATG,1968,0.0,,
273,Antigua and Barbuda,ATG,1969,0.0,,
274,Antigua and Barbuda,ATG,1970,0.0,,
275,Antigua and Barbuda,ATG,1971,0.0,,
276,Antigua and Barbuda,ATG,1972,0.0,,
277,Antigua and Barbuda,ATG,1973,0.0,,
278,Antigua and Barbuda,ATG,1974,0.0,,
279,Antigua and Barbuda,ATG,1975,0.0,,
280,Antigua and Barbuda,ATG,1976,0.0,,
281,Antigua and Barbuda,ATG,1977,0.0,,
282,Antigua and Barbuda,ATG,1978,0.0,,
283,Antigua and Barbuda,ATG,1979,0.0,,
284,Antigua and Barbuda,ATG,1980,0.0,,
285,Antigua and Barbuda,ATG,1981,0.0,,
286,Antigua and Barbuda,ATG,1982,0.0,,
287,Antigua and Barbuda,ATG,1983,0.0,,
288,Antigua and Barbuda,ATG,1984,0.0,,
289,Antigua and Barbuda,ATG,1985,0.0,,
290,Antigua and Barbuda,ATG,1986,0.0,,
291,Antigua and Barbuda,ATG,1987,0.0,,
